Section	Q#	Question ID	Question	Description	Type	Answer Options	Required	Condition (Show If)	Follow-Up	Triggers	Critical	Reviewer Notes	Approved
Getting Started	1	welcome	Let's build your treatment plan	This takes about 3 minutes. We'll ask about your health goals, medical history, and match you with the right treatments.	welcome		Yes						
Getting Started	2	goals	What are your health goals?	Select all that apply — this helps us personalize your visit.	multi	Energy & vitality / Sexual performance / Hair growth / Muscle & strength / Weight management / Sleep quality / Anti-aging & longevity / General wellness	Yes						
Getting Started	3	basics-sex	What sex were you assigned at birth?		single	Male / Female	Yes						
Getting Started	4	basics-age	What is your age?		single	18 or younger / 19–30 / 31–45 / 46–60 / 61+	Yes			If basics-age = "0-18" → DISQUALIFY __all__: "We are unable to provide treatment to patients under 18. Please consult with your primary care physician."			
Getting Started	5	basics-pregnant	Are you currently pregnant or breastfeeding?		yes-no	Yes / No	Yes	basics-sex = "female"		If basics-pregnant = "yes" → DISQUALIFY __peptides__: "Peptide treatments are not available during pregnancy or while breastfeeding."			
Getting Started	6	basics-state	What state do you live in?		select	Alabama / Alaska / Arizona / Arkansas / California / Colorado / Connecticut / Delaware / Florida / Georgia / Hawaii / Idaho / Illinois / Indiana / Iowa / Kansas / Kentucky / Louisiana / Maine / Maryland / Massachusetts / Michigan / Minnesota / Mississippi / Missouri / Montana / Nebraska / Nevada / New Hampshire / New Jersey / New Mexico / New York / North Carolina / North Dakota / Ohio / Oklahoma / Oregon / Pennsylvania / Rhode Island / South Carolina / South Dakota / Tennessee / Texas / Utah / Vermont / Virginia / Washington / West Virginia / Wisconsin / Wyoming / District of Columbia	Yes						
Medical History	1	med-medications	Are you currently taking any medications, vitamins, or dietary supplements?		yes-no	Yes / No, I don't take anything	Yes		If med-medications = "yes" → "Please list all medications, vitamins, and supplements including dosage and reason."				
Medical History	2	med-allergies	Do you have any allergies or sensitivities to any food, dyes, medicines, herbs, vitamins, or supplements?		yes-no	Yes / Not that I am aware of	Yes		If med-allergies = "yes" → "Please list your allergies."				
Medical History	3	med-conditions	Do you have any medical conditions?		yes-no	Yes / No	Yes		If med-conditions = "yes" → "Please list your medical conditions."				
Medical History	4	med-surgeries	Have you had any surgeries?		yes-no	Yes / No	Yes		If med-surgeries = "yes" → "Please list your surgeries."				
Medical History	5	med-physical-exam	When was the last time you had an in-person medical evaluation, including lab tests?		single	Less than 1 year ago / 1–2 years ago / More than 2 years ago	Yes			If med-physical-exam = "more-2yr" AND oral-sermorelin is in treatment plan → DISQUALIFY oral-sermorelin: "Sermorelin requires an in-person medical evaluation within the last 2 years."			
Cardiovascular Screening	1	cardio-bp-recent	Have you had your blood pressure measured in the past 6 months?		yes-no	Yes / No	Yes			If cardio-bp-recent = "no" → DISQUALIFY ed-rapid-dissolve-tablet: "A recent blood pressure reading is required before prescribing ED medications. Please have your blood pressure measured and try again."			
Cardiovascular Screening	2	cardio-systolic	What is your systolic blood pressure number? (The top number)		single	Less than 90 / 90–119 / 120–139 / 140–159 / 160 or more	Yes	cardio-bp-recent = "yes"					
Cardiovascular Screening	3	cardio-diastolic	What is your diastolic blood pressure number? (The bottom number)		single	Less than 65 / 65–79 / 80–89 / 90–99 / 100 or more	Yes	cardio-bp-recent = "yes"					
Cardiovascular Screening	4	cardio-risks	Do you have any significant cardiovascular risks?		multi	Cardiac death or heart attack in a first degree relative before the age of 55 / Elevated blood pressure / Diabetes / Elevated cholesterol / Previous history of a heart attack / None apply to me	Yes						
Cardiovascular Screening	5	cardio-conditions	Do you have any of these heart or vascular conditions?	On occasion these conditions are high risk and it is better that your condition is evaluated in person.	multi	Heart attack, heart failure, or narrowing of heart arteries / Irregular heartbeat or heart arrhythmias / Heart abnormalities or heart murmurs / Long QT syndrome or a prolonged QT interval / Heart valve problems / Cardiomyopathy or enlarged heart / Low blood pressure / Syncope or history of passing out / Pulmonary hypertension / None apply	Yes						
Cardiovascular Screening	6	cardio-symptoms	Do you experience any of the following?		multi	Exertional chest pain (angina) or shortness of breath / Unexplained fainting, lightheadedness, or dizziness / Abnormal heartbeat / Leg cramps with exercise / None apply	Yes						
Sexual Health	1	ed-confidence	How confident are you in getting/keeping an erection?		scale	Not confident / Low confidence / Somewhat confident / Mostly confident / Very confident	Yes						
Sexual Health	2	ed-difficulty	How difficult is it to keep an erection to the finish of intercourse?		scale	Extremely difficult / Very difficult / Somewhat difficult / Slightly difficult / Not difficult	Yes			If ed-difficulty = "extremely" OR ed-difficulty = "very" OR ed-difficulty = "somewhat" → Suggest ed-rapid-dissolve-tablet: "Based on your symptoms, your provider may recommend this combination ED treatment."			
Sexual Health	3	ed-symptoms	What symptoms are you currently experiencing?		multi	Difficult to get an erection / Erection doesn't stay hard during sex / Erection is inconsistent / Ejaculate too quickly or prematurely (PE) / Other	Yes		If ed-symptoms includes "other" → "Please describe your symptoms."				
Sexual Health	4	ed-duration	How long have you noticed these symptoms?		single	Less than 1 month / 2–6 months / 6–12 months / Over 12 months	Yes						
Sexual Health	5	ed-previous-treatment	Have you been treated for ED in the past or tried any medications for erectile dysfunction?		yes-no	Yes / No	Yes		If ed-previous-treatment = "yes" → "Please list all medications, surgical implants, or penile injections used."				
Sexual Health	6	ed-genital-exam	Have you been seen by a healthcare provider for a physical exam in the last 2 years that included a genital exam?		yes-no	Yes / No	Yes			If ed-genital-exam = "no" → DISQUALIFY enclomiphene: "Enclomiphene requires a physical exam including genital exam within the last 2 years."			
Sexual Health	7	ed-genital-abnormalities	Were there any abnormalities during that exam?		yes-no	Yes, abnormalities were found / No, my exam was normal	Yes	ed-genital-exam = "yes"	If ed-genital-abnormalities = "yes" → "Please describe the abnormalities found."				
Sexual Health	8	ed-penile-conditions	Do you have any of these conditions related to sexual function?		multi	Peyronie's Disease (a marked curve or bend in the penis) / Tight foreskin or foreskin that is hard to retract / Painful ejaculation / Priapism (painful erection lasting more than 4 hours) / Any other deformity or penile deformity / None apply to me	Yes						
